method,true_label,predicted_label,count
cpfc,local_verification_collapse,local_verification_collapse,28
cpfc,local_verification_collapse,dependency_mediated_propagation,5
cpfc,local_verification_collapse,burst_associated_degradation,4
cpfc,local_verification_collapse,boundary_case,2
cpfc,local_verification_collapse,unverifiable_or_excluded,3
cpfc,dependency_mediated_propagation,local_verification_collapse,4
cpfc,dependency_mediated_propagation,dependency_mediated_propagation,14
cpfc,dependency_mediated_propagation,burst_associated_degradation,3
cpfc,dependency_mediated_propagation,boundary_case,2
cpfc,dependency_mediated_propagation,unverifiable_or_excluded,4
cpfc,burst_associated_degradation,local_verification_collapse,5
cpfc,burst_associated_degradation,dependency_mediated_propagation,3
cpfc,burst_associated_degradation,burst_associated_degradation,35
cpfc,burst_associated_degradation,boundary_case,1
cpfc,burst_associated_degradation,unverifiable_or_excluded,6
cpfc,boundary_case,local_verification_collapse,1
cpfc,boundary_case,dependency_mediated_propagation,2
cpfc,boundary_case,burst_associated_degradation,1
cpfc,boundary_case,boundary_case,10
cpfc,boundary_case,unverifiable_or_excluded,3
cpfc,unverifiable_or_excluded,local_verification_collapse,8
cpfc,unverifiable_or_excluded,dependency_mediated_propagation,6
cpfc,unverifiable_or_excluded,burst_associated_degradation,12
cpfc,unverifiable_or_excluded,boundary_case,4
cpfc,unverifiable_or_excluded,unverifiable_or_excluded,100
simple_step,local_verification_collapse,local_verification_collapse,20
simple_step,local_verification_collapse,dependency_mediated_propagation,8
simple_step,local_verification_collapse,burst_associated_degradation,6
simple_step,local_verification_collapse,boundary_case,3
simple_step,local_verification_collapse,unverifiable_or_excluded,5
simple_step,dependency_mediated_propagation,local_verification_collapse,6
simple_step,dependency_mediated_propagation,dependency_mediated_propagation,10
simple_step,dependency_mediated_propagation,burst_associated_degradation,5
simple_step,dependency_mediated_propagation,boundary_case,3
simple_step,dependency_mediated_propagation,unverifiable_or_excluded,5
simple_step,burst_associated_degradation,local_verification_collapse,7
simple_step,burst_associated_degradation,dependency_mediated_propagation,5
simple_step,burst_associated_degradation,burst_associated_degradation,28
simple_step,burst_associated_degradation,boundary_case,2
simple_step,burst_associated_degradation,unverifiable_or_excluded,8
simple_step,boundary_case,local_verification_collapse,2
simple_step,boundary_case,dependency_mediated_propagation,3
simple_step,boundary_case,burst_associated_degradation,2
simple_step,boundary_case,boundary_case,7
simple_step,boundary_case,unverifiable_or_excluded,5
simple_step,unverifiable_or_excluded,local_verification_collapse,12
simple_step,unverifiable_or_excluded,dependency_mediated_propagation,10
simple_step,unverifiable_or_excluded,burst_associated_degradation,15
simple_step,unverifiable_or_excluded,boundary_case,6
simple_step,unverifiable_or_excluded,unverifiable_or_excluded,87
descriptive_error,local_verification_collapse,local_verification_collapse,24
descriptive_error,local_verification_collapse,dependency_mediated_propagation,6
descriptive_error,local_verification_collapse,burst_associated_degradation,5
descriptive_error,local_verification_collapse,boundary_case,2
descriptive_error,local_verification_collapse,unverifiable_or_excluded,4
descriptive_error,dependency_mediated_propagation,local_verification_collapse,5
descriptive_error,dependency_mediated_propagation,dependency_mediated_propagation,12
descriptive_error,dependency_mediated_propagation,burst_associated_degradation,4
descriptive_error,dependency_mediated_propagation,boundary_case,2
descriptive_error,dependency_mediated_propagation,unverifiable_or_excluded,4
descriptive_error,burst_associated_degradation,local_verification_collapse,6
descriptive_error,burst_associated_degradation,dependency_mediated_propagation,4
descriptive_error,burst_associated_degradation,burst_associated_degradation,30
descriptive_error,burst_associated_degradation,boundary_case,1
descriptive_error,burst_associated_degradation,unverifiable_or_excluded,7
descriptive_error,boundary_case,local_verification_collapse,2
descriptive_error,boundary_case,dependency_mediated_propagation,2
descriptive_error,boundary_case,burst_associated_degradation,1
descriptive_error,boundary_case,boundary_case,9
descriptive_error,boundary_case,unverifiable_or_excluded,4
descriptive_error,unverifiable_or_excluded,local_verification_collapse,10
descriptive_error,unverifiable_or_excluded,dependency_mediated_propagation,8
descriptive_error,unverifiable_or_excluded,burst_associated_degradation,14
descriptive_error,unverifiable_or_excluded,boundary_case,5
descriptive_error,unverifiable_or_excluded,unverifiable_or_excluded,93
