pair_type,case_id_1,case_id_2,endpoint_relation,onset_relation,pattern_relation,boundary_relation,eligible,exclusion_reason
A,case_002,case_017,both_fail,uncertain_vs_t1,local_verification_collapse_vs_boundary_case,False_vs_False,True,
A,case_002,case_023,both_fail,uncertain_vs_t0,local_verification_collapse_vs_dependency_mediated_propagation,False_vs_False,True,
A,case_002,case_025,both_fail,uncertain_vs_t1,local_verification_collapse_vs_boundary_case,False_vs_True,True,
A,case_002,case_031,both_fail,uncertain_vs_t2,local_verification_collapse_vs_boundary_case,False_vs_True,True,
A,case_002,case_040,both_fail,uncertain_vs_t1,local_verification_collapse_vs_unverifiable_or_excluded,False_vs_False,True,
A,case_002,case_043,both_fail,uncertain_vs_t0,local_verification_collapse_vs_unverifiable_or_excluded,False_vs_False,True,
A,case_002,case_046,both_fail,uncertain_vs_t2,local_verification_collapse_vs_burst_associated_degradation,False_vs_False,True,
A,case_002,case_057,both_fail,uncertain_vs_t0,local_verification_collapse_vs_dependency_mediated_propagation,False_vs_False,True,
A,case_002,case_058,both_fail,uncertain_vs_t0,local_verification_collapse_vs_dependency_mediated_propagation,False_vs_False,True,
A,case_002,case_061,both_fail,uncertain_vs_t1,local_verification_collapse_vs_local_verification_collapse,False_vs_False,True,
A,case_002,case_064,both_fail,uncertain_vs_t1,local_verification_collapse_vs_burst_associated_degradation,False_vs_False,True,
A,case_002,case_067,both_fail,uncertain_vs_t0,local_verification_collapse_vs_boundary_case,False_vs_False,True,
A,case_002,case_073,both_fail,uncertain_vs_t0,local_verification_collapse_vs_unverifiable_or_excluded,False_vs_False,True,
A,case_002,case_074,both_fail,uncertain_vs_none,local_verification_collapse_vs_dependency_mediated_propagation,False_vs_False,True,
A,case_002,case_077,both_fail,uncertain_vs_none,local_verification_collapse_vs_unverifiable_or_excluded,False_vs_False,True,
A,case_002,case_078,both_fail,uncertain_vs_t0,local_verification_collapse_vs_unverifiable_or_excluded,False_vs_False,True,
A,case_002,case_085,both_fail,uncertain_vs_t1,local_verification_collapse_vs_unverifiable_or_excluded,False_vs_False,True,
A,case_002,case_091,both_fail,uncertain_vs_t0,local_verification_collapse_vs_local_verification_collapse,False_vs_False,True,
A,case_002,case_095,both_fail,uncertain_vs_none,local_verification_collapse_vs_burst_associated_degradation,False_vs_False,True,
A,case_002,case_102,both_fail,uncertain_vs_t2,local_verification_collapse_vs_local_verification_collapse,False_vs_False,True,
A,case_002,case_109,both_fail,uncertain_vs_t0,local_verification_collapse_vs_burst_associated_degradation,False_vs_False,True,
A,case_002,case_110,both_fail,uncertain_vs_t0,local_verification_collapse_vs_unverifiable_or_excluded,False_vs_False,True,
A,case_002,case_111,both_fail,uncertain_vs_t0,local_verification_collapse_vs_dependency_mediated_propagation,False_vs_False,True,
A,case_002,case_115,both_fail,uncertain_vs_t2,local_verification_collapse_vs_burst_associated_degradation,False_vs_False,True,
A,case_002,case_125,both_fail,uncertain_vs_t0,local_verification_collapse_vs_local_verification_collapse,False_vs_False,True,
A,case_002,case_133,both_fail,uncertain_vs_t0,local_verification_collapse_vs_dependency_mediated_propagation,False_vs_False,True,
A,case_002,case_138,both_fail,uncertain_vs_t2,local_verification_collapse_vs_unverifiable_or_excluded,False_vs_False,True,
A,case_002,case_142,both_fail,uncertain_vs_t0,local_verification_collapse_vs_burst_associated_degradation,False_vs_False,True,
A,case_002,case_158,both_fail,uncertain_vs_none,local_verification_collapse_vs_dependency_mediated_propagation,False_vs_False,True,
A,case_002,case_164,both_fail,uncertain_vs_t1,local_verification_collapse_vs_unverifiable_or_excluded,False_vs_False,True,
B,case_016,case_023,True_vs_False,same_t0,boundary_case_vs_dependency_mediated_propagation,True_vs_False,True,
B,case_016,case_043,True_vs_False,same_t0,boundary_case_vs_unverifiable_or_excluded,True_vs_False,True,
B,case_016,case_057,True_vs_False,same_t0,boundary_case_vs_dependency_mediated_propagation,True_vs_False,True,
B,case_016,case_058,True_vs_False,same_t0,boundary_case_vs_dependency_mediated_propagation,True_vs_False,True,
B,case_016,case_073,True_vs_False,same_t0,boundary_case_vs_unverifiable_or_excluded,True_vs_False,True,
B,case_016,case_078,True_vs_False,same_t0,boundary_case_vs_unverifiable_or_excluded,True_vs_False,True,
B,case_016,case_091,True_vs_False,same_t0,boundary_case_vs_local_verification_collapse,True_vs_False,True,
B,case_016,case_109,True_vs_False,same_t0,boundary_case_vs_burst_associated_degradation,True_vs_False,True,
B,case_016,case_110,True_vs_False,same_t0,boundary_case_vs_unverifiable_or_excluded,True_vs_False,True,
B,case_016,case_111,True_vs_False,same_t0,boundary_case_vs_dependency_mediated_propagation,True_vs_False,True,
B,case_016,case_125,True_vs_False,same_t0,boundary_case_vs_local_verification_collapse,True_vs_False,True,
B,case_016,case_133,True_vs_False,same_t0,boundary_case_vs_dependency_mediated_propagation,True_vs_False,True,
B,case_016,case_142,True_vs_False,same_t0,boundary_case_vs_burst_associated_degradation,True_vs_False,True,
B,case_016,case_146,True_vs_True,same_t0,boundary_case_vs_local_verification_collapse,True_vs_False,True,
B,case_016,case_153,True_vs_True,same_t0,boundary_case_vs_dependency_mediated_propagation,True_vs_True,True,
B,case_016,case_209,True_vs_False,same_t0,boundary_case_vs_unverifiable_or_excluded,True_vs_False,True,
B,case_016,case_223,True_vs_False,same_t0,boundary_case_vs_burst_associated_degradation,True_vs_False,True,
B,case_016,case_226,True_vs_False,same_t0,boundary_case_vs_unverifiable_or_excluded,True_vs_False,True,
B,case_016,case_238,True_vs_False,same_t0,boundary_case_vs_local_verification_collapse,True_vs_False,True,
B,case_016,case_240,True_vs_True,same_t0,boundary_case_vs_dependency_mediated_propagation,True_vs_False,True,
B,case_016,case_284,True_vs_False,same_t0,boundary_case_vs_burst_associated_degradation,True_vs_False,True,
B,case_016,case_289,True_vs_True,same_t0,boundary_case_vs_dependency_mediated_propagation,True_vs_False,True,
B,case_016,case_298,True_vs_False,same_t0,boundary_case_vs_local_verification_collapse,True_vs_False,True,
B,case_016,case_310,True_vs_True,same_t0,boundary_case_vs_unverifiable_or_excluded,True_vs_False,True,
B,case_016,case_334,True_vs_False,same_t0,boundary_case_vs_dependency_mediated_propagation,True_vs_False,True,
B,case_016,case_343,True_vs_False,same_t0,boundary_case_vs_burst_associated_degradation,True_vs_False,True,
B,case_023,case_043,False_vs_False,same_t0,dependency_mediated_propagation_vs_unverifiable_or_excluded,False_vs_False,True,
B,case_023,case_067,False_vs_False,same_t0,dependency_mediated_propagation_vs_boundary_case,False_vs_False,True,
B,case_023,case_073,False_vs_False,same_t0,dependency_mediated_propagation_vs_unverifiable_or_excluded,False_vs_False,True,
B,case_023,case_078,False_vs_False,same_t0,dependency_mediated_propagation_vs_unverifiable_or_excluded,False_vs_False,True,
C,case_012,case_002,False_vs_False,same_uncertain,local_verification_collapse_vs_local_verification_collapse,False_vs_False,True,
C,case_043,case_016,False_vs_True,same_t0,unverifiable_or_excluded_vs_boundary_case,False_vs_True,True,
C,case_051,case_002,False_vs_False,same_uncertain,boundary_case_vs_local_verification_collapse,False_vs_False,True,
C,case_085,case_017,False_vs_False,same_t1,unverifiable_or_excluded_vs_boundary_case,False_vs_False,True,
C,case_094,case_031,True_vs_False,same_t2,boundary_case_vs_boundary_case,False_vs_True,True,
C,case_095,case_026,False_vs_True,same_none,burst_associated_degradation_vs_dependency_mediated_propagation,False_vs_False,True,
C,case_111,case_016,False_vs_True,same_t0,dependency_mediated_propagation_vs_boundary_case,False_vs_True,True,
C,case_117,case_026,True_vs_True,same_none,unverifiable_or_excluded_vs_dependency_mediated_propagation,False_vs_False,True,
C,case_125,case_016,False_vs_True,same_t0,local_verification_collapse_vs_boundary_case,False_vs_True,True,
C,case_142,case_016,False_vs_True,same_t0,burst_associated_degradation_vs_boundary_case,False_vs_True,True,
C,case_146,case_016,True_vs_True,same_t0,local_verification_collapse_vs_boundary_case,False_vs_True,True,
C,case_230,case_031,False_vs_False,same_t2,local_verification_collapse_vs_boundary_case,True_vs_True,True,
C,case_232,case_017,True_vs_False,same_t1,local_verification_collapse_vs_boundary_case,False_vs_False,True,
C,case_250,case_026,False_vs_True,same_none,boundary_case_vs_dependency_mediated_propagation,True_vs_False,True,
C,case_256,case_031,False_vs_False,same_t2,burst_associated_degradation_vs_boundary_case,False_vs_True,True,
C,case_289,case_016,True_vs_True,same_t0,dependency_mediated_propagation_vs_boundary_case,False_vs_True,True,
C,case_293,case_026,False_vs_True,same_none,unverifiable_or_excluded_vs_dependency_mediated_propagation,False_vs_False,True,
C,case_306,case_002,True_vs_False,same_uncertain,dependency_mediated_propagation_vs_local_verification_collapse,False_vs_False,True,
C,case_328,case_031,False_vs_False,same_t2,local_verification_collapse_vs_boundary_case,False_vs_True,True,
C,case_334,case_016,False_vs_True,same_t0,dependency_mediated_propagation_vs_boundary_case,False_vs_True,True,
